,2021-12-31,2020-12-31,2019-12-31,2018-12-31
Intangible Assets,1417000000.0,1445000000.0,1979000000.0,2220000000.0
Total Liab,107633000000.0,97072000000.0,74467000000.0,55164000000.0
Total Stockholder Equity,251635000000.0,222544000000.0,201442000000.0,177628000000.0
Other Current Liab,29208000000.0,28006000000.0,22159000000.0,17612000000.0
Total Assets,359268000000.0,319616000000.0,275909000000.0,232792000000.0
Common Stock,61774000000.0,58510000000.0,50552000000.0,45049000000.0
Other Current Assets,7054000000.0,5490000000.0,4412000000.0,4236000000.0
Retained Earnings,191484000000.0,163401000000.0,152122000000.0,134885000000.0
Other Liab,17173000000.0,15160000000.0,14478000000.0,16532000000.0
Good Will,22956000000.0,21175000000.0,20624000000.0,17888000000.0
Gains Losses Not Affecting Retained Earnings,-1623000000.0,633000000.0,-1232000000.0,-2306000000.0
Other Assets,6645000000.0,5037000000.0,3063000000.0,3430000000.0
Cash,20945000000.0,26465000000.0,18498000000.0,16701000000.0
Total Current Liabilities,64254000000.0,56834000000.0,45221000000.0,34620000000.0
Deferred Long Term Asset Charges,1284000000.0,1084000000.0,721000000.0,737000000.0
Other Stockholder Equity,-1623000000.0,633000000.0,-1232000000.0,-2306000000.0
Property Plant Equipment,110558000000.0,96960000000.0,84587000000.0,59719000000.0
Total Current Assets,188143000000.0,174296000000.0,152578000000.0,135676000000.0
Long Term Investments,29549000000.0,20703000000.0,13078000000.0,13859000000.0
Net Tangible Assets,227262000000.0,199924000000.0,178839000000.0,157520000000.0
Short Term Investments,118704000000.0,110229000000.0,101177000000.0,92439000000.0
Net Receivables,40270000000.0,31384000000.0,27492000000.0,21193000000.0
Long Term Debt,12844000000.0,12832000000.0,3958000000.0,3950000000.0
Inventory,1170000000.0,728000000.0,999000000.0,1107000000.0
Accounts Payable,6037000000.0,5589000000.0,5561000000.0,4378000000.0
Short Long Term Debt,,999000000.0,,
