,2021-12-31,2020-12-31,2019-12-31,2018-12-31
Investments,-8806000000.0,-9822000000.0,-4017000000.0,-1972000000.0
Change To Liabilities,1057000000.0,1329000000.0,465000000.0,1438000000.0
Total Cashflows From Investing Activities,-35523000000.0,-32773000000.0,-29491000000.0,-28504000000.0
Net Borrowings,-1236000000.0,9661000000.0,-268000000.0,-61000000.0
Total Cash From Financing Activities,-61362000000.0,-24408000000.0,-23209000000.0,-13179000000.0
Change To Operating Activities,7140000000.0,5813000000.0,7822000000.0,7890000000.0
Net Income,76033000000.0,40269000000.0,34343000000.0,30736000000.0
Change In Cash,-5520000000.0,7967000000.0,1797000000.0,5986000000.0
Repurchase Of Stock,-50274000000.0,-31149000000.0,-18396000000.0,-9075000000.0
Effect Of Exchange Rate,-287000000.0,24000000.0,-23000000.0,-302000000.0
Total Cash From Operating Activities,91652000000.0,65124000000.0,54520000000.0,47971000000.0
Depreciation,12430000000.0,13679000000.0,11651000000.0,9029000000.0
Other Cashflows From Investing Activities,541000000.0,68000000.0,589000000.0,98000000.0
Change To Account Receivables,-9095000000.0,-6524000000.0,-4340000000.0,-2169000000.0
Other Cashflows From Financing Activities,-9852000000.0,-2920000000.0,-4545000000.0,-4043000000.0
Change To Netincome,4712000000.0,9349000000.0,7707000000.0,3298000000.0
Capital Expenditures,-24640000000.0,-22281000000.0,-23548000000.0,-25139000000.0
