,2021-12-31,2020-12-31,2019-12-31,2018-12-31
Intangible Assets,5107000000.0,4981000000.0,4049000000.0,4110000000.0
Capital Surplus,55538000000.0,42865000000.0,33658000000.0,26791000000.0
Total Liab,282304000000.0,227791000000.0,163188000000.0,119099000000.0
Total Stockholder Equity,138245000000.0,93404000000.0,62060000000.0,43549000000.0
Other Current Liab,18027000000.0,15267000000.0,12202000000.0,9959000000.0
Total Assets,420549000000.0,321195000000.0,225248000000.0,162648000000.0
Common Stock,5000000.0,5000000.0,5000000.0,5000000.0
Other Current Assets,242000000.0,233000000.0,276000000.0,418000000.0
Retained Earnings,85915000000.0,52551000000.0,31220000000.0,19625000000.0
Other Liab,17443000000.0,13617000000.0,12171000000.0,17563000000.0
Good Will,15371000000.0,15017000000.0,14754000000.0,14548000000.0
Gains Losses Not Affecting Retained Earnings,-3213000000.0,-2017000000.0,-2823000000.0,-2872000000.0
Other Assets,18125000000.0,12097000000.0,10096000000.0,6370000000.0
Cash,36220000000.0,42122000000.0,36092000000.0,31750000000.0
Total Current Liabilities,142266000000.0,126385000000.0,87812000000.0,68391000000.0
Short Long Term Debt,1687000000.0,1266000000.0,1305000000.0,1371000000.0
Other Stockholder Equity,-1376000000.0,-180000000.0,-986000000.0,-1035000000.0
Property Plant Equipment,216363000000.0,150667000000.0,97846000000.0,61797000000.0
Total Current Assets,161580000000.0,132733000000.0,96334000000.0,75101000000.0
Long Term Investments,4003000000.0,5700000000.0,2169000000.0,722000000.0
Net Tangible Assets,117767000000.0,73406000000.0,43257000000.0,24891000000.0
Short Term Investments,59829000000.0,42274000000.0,18929000000.0,9500000000.0
Net Receivables,32649000000.0,24309000000.0,20540000000.0,16259000000.0
Long Term Debt,54944000000.0,35216000000.0,23414000000.0,23495000000.0
Inventory,32640000000.0,23795000000.0,20497000000.0,17174000000.0
Accounts Payable,78664000000.0,72539000000.0,47183000000.0,38192000000.0
