,2021-12-31,2020-12-31,2019-12-31,2018-12-31
Investments,-773000000.0,-22242000000.0,-9131000000.0,1140000000.0
Change To Liabilities,5916000000.0,18745000000.0,9904000000.0,4414000000.0
Total Cashflows From Investing Activities,-58154000000.0,-59611000000.0,-24281000000.0,-12369000000.0
Net Borrowings,6291000000.0,-1104000000.0,-10066000000.0,-7686000000.0
Total Cash From Financing Activities,6291000000.0,-1104000000.0,-10066000000.0,-7686000000.0
Change To Operating Activities,2123000000.0,5754000000.0,-1383000000.0,472000000.0
Net Income,33364000000.0,21331000000.0,11588000000.0,10073000000.0
Change In Cash,-5900000000.0,5967000000.0,4237000000.0,10317000000.0
Effect Of Exchange Rate,-364000000.0,618000000.0,70000000.0,-351000000.0
Total Cash From Operating Activities,46327000000.0,66064000000.0,38514000000.0,30723000000.0
Depreciation,34296000000.0,25251000000.0,21789000000.0,15341000000.0
Change To Inventory,-9487000000.0,-2849000000.0,-3278000000.0,-1314000000.0
Change To Account Receivables,-18163000000.0,-8169000000.0,-7681000000.0,-4615000000.0
Change To Netincome,-1722000000.0,6001000000.0,7575000000.0,6352000000.0
Capital Expenditures,-61053000000.0,-40140000000.0,-16861000000.0,-13427000000.0
Other Cashflows From Investing Activities,,,,2104000000.0
