,2021-12-31,2020-12-31,2019-12-31,2018-12-31
Total Liab,2899429000000.0,2546703000000.0,2169269000000.0,2089182000000.0
Total Stockholder Equity,245358000000.0,248414000000.0,241409000000.0,242999000000.0
Other Current Liab,100690000000.0,71320000000.0,83270000000.0,68220000000.0
Total Assets,3169495000000.0,2819627000000.0,2434079000000.0,2354507000000.0
Common Stock,62398000000.0,85982000000.0,91723000000.0,118896000000.0
Other Current Assets,127169000000.0,110153000000.0,124504000000.0,152330000000.0
Retained Earnings,188064000000.0,164088000000.0,156319000000.0,136314000000.0
Other Liab,6698000000.0,7836000000.0,9901000000.0,5051000000.0
Good Will,69022000000.0,68951000000.0,68951000000.0,68951000000.0
Gains Losses Not Affecting Retained Earnings,-5104000000.0,-1656000000.0,-6633000000.0,-12211000000.0
Other Assets,1106864000000.0,1021889000000.0,1082606000000.0,1044414000000.0
Cash,342321000000.0,373463000000.0,137160000000.0,156526000000.0
Total Current Liabilities,2615578000000.0,2265459000000.0,1908419000000.0,1854739000000.0
Deferred Long Term Asset Charges,9153000000.0,7447000000.0,6444000000.0,10741000000.0
Short Long Term Debt,11905000000.0,,,
Other Stockholder Equity,-5104000000.0,-1656000000.0,-6633000000.0,-12211000000.0
Property Plant Equipment,21066000000.0,21000000000.0,20296000000.0,9906000000.0
Total Current Assets,975830000000.0,1009128000000.0,777955000000.0,780583000000.0
Long Term Investments,996713000000.0,698659000000.0,484271000000.0,450653000000.0
Net Tangible Assets,176336000000.0,179463000000.0,172458000000.0,174048000000.0
Short Term Investments,257157000000.0,309004000000.0,280704000000.0,266903000000.0
Net Receivables,70063000000.0,61821000000.0,55937000000.0,65814000000.0
Long Term Debt,268212000000.0,262934000000.0,240856000000.0,229392000000.0
Inventory,130000000.0,164000000.0,285000000.0,300000000.0
Accounts Payable,2064446000000.0,1795480000000.0,1434803000000.0,1381476000000.0
