,2021-12-31,2020-12-31,2019-12-31,2018-12-31
Investments,-310343000000.0,-189408000000.0,-23620000000.0,-6542000000.0
Change To Liabilities,0.0,0.0,0.0,0.0
Total Cashflows From Investing Activities,-313291000000.0,-177665000000.0,-80630000000.0,-71468000000.0
Net Borrowings,56287000000.0,9386000000.0,-16249000000.0,8824000000.0
Total Cash From Financing Activities,291650000000.0,355819000000.0,3377000000.0,53118000000.0
Change To Operating Activities,-39920000000.0,-326000000.0,13170000000.0,1257000000.0
Net Income,31978000000.0,17894000000.0,27430000000.0,28147000000.0
Change In Cash,-32242000000.0,218903000000.0,-15844000000.0,19970000000.0
Repurchase Of Stock,-25126000000.0,-7025000000.0,-28144000000.0,-20094000000.0
Effect Of Exchange Rate,-3408000000.0,2756000000.0,-368000000.0,-1200000000.0
Total Cash From Operating Activities,-7193000000.0,37993000000.0,61777000000.0,39520000000.0
Depreciation,1898000000.0,1843000000.0,1729000000.0,2063000000.0
Other Cashflows From Investing Activities,49859000000.0,-32950000000.0,-16440000000.0,-50370000000.0
Dividends Paid,-8055000000.0,-7727000000.0,-5934000000.0,-6895000000.0
Other Cashflows From Financing Activities,268346000000.0,360076000000.0,52629000000.0,71280000000.0
Change To Netincome,-1149000000.0,18582000000.0,19448000000.0,8053000000.0
