,2021-12-31,2020-12-31,2019-12-31,2018-12-31
Investments,9776000000.0,-17341000000.0,101000000.0,291000000.0
Change To Liabilities,-1278000000.0,-6423000000.0,2337000000.0,2638000000.0
Total Cashflows From Investing Activities,9324000000.0,-18366000000.0,-1530000000.0,-4621000000.0
Net Borrowings,-5576000000.0,36250000000.0,13218000000.0,1365000000.0
Total Cash From Financing Activities,-5600000000.0,34955000000.0,5739000000.0,-11722000000.0
Change To Operating Activities,-4006000000.0,838000000.0,6316000000.0,1879000000.0
Issuance Of Stock,42000000.0,36000000.0,58000000.0,81000000.0
Net Income,-4202000000.0,-11873000000.0,-636000000.0,10460000000.0
Change In Cash,269000000.0,-1736000000.0,1758000000.0,-1074000000.0
Repurchase Of Stock,-66000000.0,-173000000.0,-2899000000.0,-9257000000.0
Effect Of Exchange Rate,-39000000.0,85000000.0,-5000000.0,-53000000.0
Total Cash From Operating Activities,-3416000000.0,-18410000000.0,-2446000000.0,15322000000.0
Depreciation,2144000000.0,2246000000.0,2271000000.0,2114000000.0
Other Cashflows From Investing Activities,5000000.0,-18000000.0,-13000000.0,-11000000.0
Change To Inventory,-1127000000.0,-11002000000.0,-12391000000.0,568000000.0
Change To Account Receivables,-1299000000.0,1828000000.0,1585000000.0,-2621000000.0
Change To Netincome,5619000000.0,8552000000.0,548000000.0,464000000.0
Capital Expenditures,-980000000.0,-1303000000.0,-1834000000.0,-1722000000.0
Dividends Paid,,-1158000000.0,-4630000000.0,-3946000000.0
Other Cashflows From Financing Activities,,,-8000000.0,35000000.0
