,2021-12-31,2020-12-31,2019-12-31,2018-12-31
Intangible Assets,276000000.0,237000000.0,291000000.0,219000000.0
Capital Surplus,34938000000.0,33323000000.0,34661000000.0,34889000000.0
Total Liab,711603000000.0,776024000000.0,743581000000.0,724897000000.0
Total Stockholder Equity,43954000000.0,42677000000.0,43644000000.0,43922000000.0
Minority Interest,276000000.0,264000000.0,70000000.0,97000000.0
Other Current Liab,448464000000.0,280479000000.0,227111000000.0,235457000000.0
Total Assets,755833000000.0,818965000000.0,787295000000.0,768916000000.0
Common Stock,106000000.0,98000000.0,102000000.0,102000000.0
Other Current Assets,129953000000.0,175903000000.0,174218000000.0,169347000000.0
Retained Earnings,31064000000.0,32834000000.0,30634000000.0,26973000000.0
Other Liab,11100000000.0,230097000000.0,266822000000.0,241588000000.0
Good Will,2917000000.0,4426000000.0,4663000000.0,4766000000.0
Gains Losses Not Affecting Retained Earnings,-22154000000.0,-23578000000.0,-21753000000.0,-18042000000.0
Other Assets,12842000000.0,10421000000.0,10752000000.0,11246000000.0
Cash,164818000000.0,139112000000.0,101879000000.0,100047000000.0
Total Current Liabilities,544444000000.0,365208000000.0,322009000000.0,329001000000.0
Deferred Long Term Asset Charges,3707000000.0,3667000000.0,4399000000.0,4943000000.0
Short Long Term Debt,28737000000.0,,,
Other Stockholder Equity,-21326000000.0,-23150000000.0,-20269000000.0,-17981000000.0
Property Plant Equipment,7305000000.0,7376000000.0,7832000000.0,4838000000.0
Total Current Assets,726178000000.0,790486000000.0,757085000000.0,741478000000.0
Long Term Investments,6315000000.0,6019000000.0,6672000000.0,6369000000.0
Net Tangible Assets,40985000000.0,38194000000.0,38934000000.0,39100000000.0
Short Term Investments,38889000000.0,38366000000.0,28162000000.0,39325000000.0
Net Receivables,311257000000.0,332104000000.0,337115000000.0,331543000000.0
Long Term Debt,153842000000.0,178345000000.0,152005000000.0,154308000000.0
Accounts Payable,13060000000.0,21653000000.0,25683000000.0,30923000000.0
Inventory,,24000000.0,33000000.0,16000000.0
