,2021-12-31,2020-12-31,2019-12-31,2018-12-31
Investments,-8732000000.0,19859000000.0,10411000000.0,112000000.0
Change To Liabilities,0.0,0.0,0.0,0.0
Total Cashflows From Investing Activities,-10082000000.0,14450000000.0,-2359000000.0,-7678000000.0
Net Borrowings,1471000000.0,33079000000.0,25122000000.0,-13913000000.0
Total Cash From Financing Activities,-47000000.0,31481000000.0,22136000000.0,-14983000000.0
Change To Operating Activities,2086000000.0,-7010000000.0,-3753000000.0,-10841000000.0
Issuance Of Stock,20858000000.0,12364000000.0,9624000000.0,11693000000.0
Net Income,-1650000000.0,2669000000.0,3419000000.0,2024000000.0
Change In Cash,25706000000.0,37233000000.0,1832000000.0,-9768000000.0
Repurchase Of Stock,-21915000000.0,-13253000000.0,-11536000000.0,-12441000000.0
Effect Of Exchange Rate,-1103000000.0,-2667000000.0,-607000000.0,10000000.0
Total Cash From Operating Activities,36938000000.0,-6031000000.0,-17338000000.0,12883000000.0
Depreciation,1397000000.0,1344000000.0,1267000000.0,927000000.0
Other Cashflows From Investing Activities,454000000.0,113000000.0,543000000.0,342000000.0
Dividends Paid,-256000000.0,-716000000.0,-695000000.0,-661000000.0
Other Cashflows From Financing Activities,-205000000.0,7000000.0,-379000000.0,339000000.0
Change To Netincome,8051000000.0,5056000000.0,9884000000.0,-4763000000.0
Capital Expenditures,-1419000000.0,-1188000000.0,-1293000000.0,-1095000000.0
