,2022-06-30,2021-06-30,2020-06-30,2019-06-30
Intangible Assets,11298000000.0,7800000000.0,7038000000.0,7750000000.0
Total Liab,198298000000.0,191791000000.0,183007000000.0,184226000000.0
Total Stockholder Equity,166542000000.0,141988000000.0,118304000000.0,102330000000.0
Other Current Liab,59384000000.0,52612000000.0,46001000000.0,45860000000.0
Total Assets,364840000000.0,333779000000.0,301311000000.0,286556000000.0
Common Stock,86939000000.0,83111000000.0,80552000000.0,78520000000.0
Other Current Assets,16932000000.0,13471000000.0,11517000000.0,10133000000.0
Retained Earnings,84281000000.0,57055000000.0,34566000000.0,24150000000.0
Other Liab,30853000000.0,31681000000.0,34492000000.0,35699000000.0
Good Will,67524000000.0,49711000000.0,43351000000.0,42026000000.0
Gains Losses Not Affecting Retained Earnings,-4678000000.0,1822000000.0,3186000000.0,-340000000.0
Other Assets,21897000000.0,15075000000.0,13138000000.0,14723000000.0
Cash,13931000000.0,14224000000.0,13576000000.0,11356000000.0
Total Current Liabilities,95082000000.0,88657000000.0,72310000000.0,69420000000.0
Deferred Long Term Asset Charges,13515000000.0,7181000000.0,6405000000.0,7536000000.0
Short Long Term Debt,2749000000.0,8072000000.0,3749000000.0,5516000000.0
Other Stockholder Equity,-4678000000.0,1822000000.0,3186000000.0,-340000000.0
Property Plant Equipment,87546000000.0,70803000000.0,52904000000.0,43856000000.0
Total Current Assets,169684000000.0,184406000000.0,181915000000.0,175552000000.0
Long Term Investments,6891000000.0,5984000000.0,2965000000.0,2649000000.0
Net Tangible Assets,87720000000.0,84477000000.0,67915000000.0,52554000000.0
Short Term Investments,90818000000.0,116032000000.0,122916000000.0,122476000000.0
Net Receivables,44261000000.0,38043000000.0,32011000000.0,29524000000.0
Long Term Debt,47032000000.0,50074000000.0,59578000000.0,66662000000.0
Inventory,3742000000.0,2636000000.0,1895000000.0,2063000000.0
Accounts Payable,19000000000.0,15163000000.0,12530000000.0,9382000000.0
