,2021-12-31,2020-12-31,2019-12-31,2018-12-31
Change To Liabilities,236465000.0,151642000.0,259909000.0,341475000.0
Total Cashflows From Investing Activities,-1339853000.0,-505354000.0,-387064000.0,-339120000.0
Net Borrowings,-500000000.0,1009464000.0,4469306000.0,3961852000.0
Total Cash From Financing Activities,-1149776000.0,1237311000.0,4505662000.0,4048527000.0
Change To Operating Activities,-478442000.0,-183515000.0,-216866000.0,-47708000.0
Issuance Of Stock,174414000.0,235406000.0,72490000.0,124502000.0
Net Income,5116228000.0,2761395000.0,1866916000.0,1211242000.0
Change In Cash,-2183759000.0,3195084000.0,1231745000.0,989246000.0
Repurchase Of Stock,-824190000.0,-824190000.0,-824190000.0,-824190000.0
Effect Of Exchange Rate,-86740000.0,36050000.0,469000.0,-39682000.0
Total Cash From Operating Activities,392610000.0,2427077000.0,-2887322000.0,-2680479000.0
Depreciation,208412000.0,115710000.0,103579000.0,83157000.0
Other Cashflows From Investing Activities,-26919000.0,-7431000.0,-134029000.0,-165174000.0
Change To Netincome,-16920420000.0,-11225067000.0,-14117107000.0,-11800733000.0
Capital Expenditures,-524585000.0,-497923000.0,-253035000.0,-173946000.0
Other Cashflows From Financing Activities,,-7559000.0,-36134000.0,-37827000.0
