,2021-12-31,2020-12-31,2019-12-31,2018-12-31
Intangible Assets,25146000000.0,28337000000.0,33936000000.0,35211000000.0
Capital Surplus,90591000000.0,88674000000.0,87428000000.0,86253000000.0
Total Liab,104013000000.0,90756000000.0,104148000000.0,95664000000.0
Total Stockholder Equity,77201000000.0,63238000000.0,63126000000.0,63388000000.0
Minority Interest,262000000.0,235000000.0,303000000.0,351000000.0
Other Current Liab,26732000000.0,12116000000.0,11672000000.0,12212000000.0
Total Assets,181476000000.0,154229000000.0,167594000000.0,159422000000.0
Common Stock,473000000.0,470000000.0,468000000.0,467000000.0
Other Current Assets,3816000000.0,3629000000.0,6528000000.0,12089000000.0
Retained Earnings,103394000000.0,90392000000.0,97670000000.0,89554000000.0
Other Liab,22637000000.0,26595000000.0,29859000000.0,30519000000.0
Good Will,49208000000.0,49556000000.0,48202000000.0,53411000000.0
Gains Losses Not Affecting Retained Earnings,-117257000000.0,-116298000000.0,-122440000000.0,-112886000000.0
Other Assets,8166000000.0,5759000000.0,17982000000.0,4387000000.0
Cash,1944000000.0,1786000000.0,1121000000.0,1139000000.0
Total Current Liabilities,42671000000.0,25920000000.0,37304000000.0,31858000000.0
Deferred Long Term Asset Charges,1600000000.0,900000000.0,700000000.0,800000000.0
Short Long Term Debt,1636000000.0,2002000000.0,1462000000.0,4781000000.0
Other Stockholder Equity,-5896000000.0,-5310000000.0,-11639000000.0,-11276000000.0
Property Plant Equipment,17721000000.0,15131000000.0,14258000000.0,13385000000.0
Total Current Assets,59693000000.0,35067000000.0,32803000000.0,49926000000.0
Long Term Investments,21542000000.0,20379000000.0,20413000000.0,3102000000.0
Net Tangible Assets,2847000000.0,-14655000000.0,-19012000000.0,-25234000000.0
Short Term Investments,29125000000.0,10437000000.0,8525000000.0,17694000000.0
Net Receivables,15745000000.0,11177000000.0,9508000000.0,11399000000.0
Long Term Debt,36195000000.0,37133000000.0,35955000000.0,33287000000.0
Inventory,9059000000.0,8020000000.0,7068000000.0,7508000000.0
Accounts Payable,5578000000.0,4283000000.0,3887000000.0,4674000000.0
