,2021-12-31,2020-12-31,2019-12-31,2018-12-31
Investments,-19517000000.0,-1672000000.0,9304000000.0,6434000000.0
Change To Liabilities,1242000000.0,355000000.0,-341000000.0,404000000.0
Total Cashflows From Investing Activities,-22546000000.0,-4271000000.0,-3945000000.0,4525000000.0
Net Borrowings,-1103000000.0,-12755000000.0,8764000000.0,-935000000.0
Total Cash From Financing Activities,-9816000000.0,-9649000000.0,-8485000000.0,-20441000000.0
Change To Operating Activities,16498000000.0,1391000000.0,-1366000000.0,152000000.0
Net Income,21979000000.0,9159000000.0,16026000000.0,11153000000.0
Change In Cash,159000000.0,475000000.0,125000000.0,-205000000.0
Effect Of Exchange Rate,-59000000.0,-8000000.0,-32000000.0,-116000000.0
Total Cash From Operating Activities,32580000000.0,14403000000.0,12588000000.0,15827000000.0
Depreciation,5104000000.0,4664000000.0,5715000000.0,6112000000.0
Other Cashflows From Investing Activities,-318000000.0,-373000000.0,-342000000.0,227000000.0
Dividends Paid,-8729000000.0,-8440000000.0,-8043000000.0,-7978000000.0
Change To Inventory,-1125000000.0,-778000000.0,-1071000000.0,-432000000.0
Change To Account Receivables,-3811000000.0,-1275000000.0,-1124000000.0,-458000000.0
Other Cashflows From Financing Activities,16000000.0,11546000000.0,-341000000.0,-589000000.0
Change To Netincome,-7307000000.0,887000000.0,-5251000000.0,-1104000000.0
Capital Expenditures,-2711000000.0,-2226000000.0,-2046000000.0,-1984000000.0
Repurchase Of Stock,,,-8865000000.0,-12198000000.0
Issuance Of Stock,,,,1259000000.0
