Date,High,Vol.,Low,Price,Chg. %,Open,
11/02/2022,1867.25,0,1821.35,1860.40,1.81%,1827.30,
10/02/2022,1843.25,0,1822.10,1827.25,-0.51%,1833.35,
09/02/2022,1837.10,0,1825.50,1836.60,0.48%,1827.00,
08/02/2022,1829.90,142.41K,1816.00,1827.90,0.33%,1821.50,
07/02/2022,1824.60,139.81K,1807.50,1821.80,0.77%,1808.00,
04/02/2022,1815.80,177.71K,1792.10,1807.80,0.21%,1805.40,
03/02/2022,1809.50,173.72K,1788.50,1804.10,-0.34%,1807.40,
02/02/2022,1812.00,123.02K,1794.60,1810.30,0.49%,1800.80,
01/02/2022,1809.70,128.88K,1796.20,1801.50,0.28%,1798.90,
31/01/2022,1800.90,139.42K,1785.80,1796.40,0.55%,1792.80,
28/01/2022,1800.30,217.15K,1780.60,1786.60,-0.47%,1799.60,
27/01/2022,1823.80,206.38K,1792.70,1795.00,-2.02%,1821.40,
26/01/2022,1852.60,154.39K,1816.40,1832.00,-1.24%,1850.70,
25/01/2022,1856.70,77.99K,1836.80,1855.00,0.59%,1846.00,
24/01/2022,1847.20,103.78K,1831.90,1844.20,0.55%,1838.30,
21/01/2022,1845.80,68.74K,1830.60,1834.10,-0.59%,1842.60,
20/01/2022,1850.80,80.38K,1838.40,1844.90,-0.03%,1842.90,
19/01/2022,1846.10,88.81K,1811.60,1845.50,1.69%,1816.40,
18/01/2022,1825.20,102.42K,1807.20,1814.90,-0.23%,1819.80,
17/01/2022,1822.90,0,1812.25,1819.05,0.18%,1815.85,
16/01/2022,1818.10,0,1815.15,1815.75,-0.18%,1816.40,
14/01/2022,1831.50,25.16K,1816.80,1819.00,-0.27%,1823.50,
13/01/2022,1830.50,86.51K,1814.30,1823.90,-0.32%,1828.00,
12/01/2022,1830.40,45.50K,1816.90,1829.80,0.48%,1823.70,
11/01/2022,1825.50,40.67K,1802.30,1821.00,1.09%,1803.70,
10/01/2022,1804.40,39.84K,1792.00,1801.30,0.08%,1798.00,
07/01/2022,1800.70,71.89K,1783.80,1799.90,0.47%,1793.00,
06/01/2022,1813.70,33.20K,1788.00,1791.50,-1.97%,1813.50,
05/01/2022,1832.60,10.32K,1811.60,1827.50,0.58%,1817.00,
04/01/2022,1819.50,10.86K,1800.60,1817.00,0.81%,1804.50,
03/01/2022,1835.40,9.97K,1800.50,1802.40,-1.56%,1832.90,
31/12/2021,1833.60,5.23K,1818.00,1831.00,0.79%,1819.10,
30/12/2021,1820.30,6.52K,1798.80,1816.60,0.46%,1807.40,
29/12/2021,1810.00,3.24K,1791.90,1808.20,-0.28%,1809.80,
28/12/2021,1823.60,2.64K,1808.00,1813.30,0.12%,1814.90,
27/12/2021,1816.80,2.57K,1806.00,1811.10,0.06%,1809.00,
24/12/2021,1810.10,0,1810.10,1810.10,-0.21%,1810.10,
23/12/2021,1814.20,2.46K,1801.60,1814.00,0.52%,1806.90,
22/12/2021,1808.10,1.60K,1788.60,1804.60,0.75%,1791.80,
21/12/2021,1803.60,4.59K,1787.60,1791.10,-0.32%,1794.30,
20/12/2021,1805.50,3.80K,1791.40,1796.90,-0.58%,1802.40,
17/12/2021,1818.00,8.37K,1799.30,1807.30,0.37%,1803.70,
16/12/2021,1803.10,7.25K,1778.40,1800.70,1.91%,1781.20,
15/12/2021,1783.30,1.84K,1755.40,1766.90,-0.44%,1774.30,
14/12/2021,1791.40,6.65K,1768.60,1774.70,-0.89%,1790.00,
13/12/2021,1794.20,5.02K,1784.60,1790.60,0.20%,1786.60,
10/12/2021,1793.10,6.46K,1772.90,1787.00,0.46%,1779.10,
09/12/2021,1790.40,5.16K,1775.40,1778.90,-0.49%,1786.40,
08/12/2021,1796.20,2.70K,1782.60,1787.60,0.04%,1788.10,
07/12/2021,1791.20,5.25K,1774.50,1786.80,0.30%,1782.10,
06/12/2021,1790.10,2.89K,1778.70,1781.50,-0.24%,1790.00,
03/12/2021,1789.60,6.77K,1768.50,1785.80,1.20%,1772.50,
02/12/2021,1786.90,5.57K,1764.20,1764.70,-1.21%,1786.10,
01/12/2021,1796.20,4.08K,1775.70,1786.30,0.45%,1778.40,
30/11/2021,1813.10,3.42K,1773.20,1778.30,-0.49%,1788.80,
29/11/2021,1803.00,3.17K,1784.00,1787.10,-0.16%,1792.40,
26/11/2021,1820.80,6.66K,1785.30,1789.90,-0.14%,1791.30,
25/11/2021,1795.30,0,1787.75,1792.40,0.20%,1789.80,
24/11/2021,1800.10,4.60K,1782.40,1788.80,0.04%,1793.90,
23/11/2021,1816.40,6.13K,1786.60,1788.10,-1.26%,1813.30,
22/11/2021,1853.70,10.12K,1807.40,1811.00,-2.43%,1852.50,
19/11/2021,1872.10,3.85K,1849.20,1856.10,-0.51%,1865.30,
18/11/2021,1875.80,3.74K,1861.00,1865.70,-0.46%,1874.60,
17/11/2021,1874.60,2.28K,1855.90,1874.40,0.87%,1855.90,
16/11/2021,1882.50,3.77K,1855.50,1858.30,-0.67%,1868.40,
15/11/2021,1876.30,11.81K,1862.90,1870.80,-0.07%,1875.60,
12/11/2021,1875.00,1.98K,1851.90,1872.20,0.24%,1867.30,
11/11/2021,1872.10,5.09K,1849.40,1867.70,0.85%,1854.00,
10/11/2021,1872.10,8.35K,1826.80,1852.00,0.95%,1837.20,
09/11/2021,1838.40,6.16K,1825.60,1834.50,0.15%,1827.80,
08/11/2021,1831.80,4.62K,1818.00,1831.80,0.62%,1823.00,
05/11/2021,1823.00,4.13K,1789.20,1820.60,1.31%,1799.20,
04/11/2021,1803.20,3.73K,1774.60,1797.10,1.67%,1781.90,
03/11/2021,1789.20,2.37K,1762.80,1767.50,-1.42%,1787.00,
02/11/2021,1801.10,1.08K,1791.50,1793.00,-0.36%,1796.40,
01/11/2021,1801.00,3.43K,1784.30,1799.50,0.67%,1784.40,
29/10/2021,1805.90,0.98K,1776.20,1787.60,-1.04%,1804.80,
28/10/2021,1814.10,2.32K,1797.20,1806.40,0.21%,1800.60,
27/10/2021,1804.00,0.84K,1788.60,1802.60,0.31%,1797.60,
26/10/2021,1810.60,0.73K,1788.00,1797.10,-0.73%,1810.60,
25/10/2021,1814.60,0.95K,1798.70,1810.40,0.58%,1798.70,
22/10/2021,1818.60,1.39K,1787.80,1800.00,0.82%,1790.50,
21/10/2021,1792.50,0.46K,1780.40,1785.40,-0.17%,1785.80,
20/10/2021,1791.70,2.19K,1775.70,1788.40,0.81%,1776.30,
19/10/2021,1789.40,0.63K,1767.70,1774.10,0.27%,1767.70,
18/10/2021,1775.00,1.24K,1763.90,1769.30,-0.15%,1771.00,
15/10/2021,1800.70,0.98K,1770.10,1771.90,-1.64%,1800.70,
14/10/2021,1804.50,0.91K,1793.10,1801.50,0.17%,1797.00,
13/10/2021,1800.10,3.95K,1761.60,1798.50,2.02%,1766.70,
12/10/2021,1773.00,3.26K,1755.20,1762.90,0.20%,1755.20,
11/10/2021,1764.20,2.61K,1753.70,1759.40,-0.10%,1757.40,
08/10/2021,1785.50,2.91K,1758.10,1761.10,-0.09%,1759.60,
07/10/2021,1769.90,3.05K,1755.90,1762.70,-0.14%,1763.00,
06/10/2021,1768.80,1.07K,1749.50,1765.10,0.05%,1759.40,
05/10/2021,1769.00,1.43K,1752.70,1764.20,-0.36%,1769.00,
04/10/2021,1774.00,0.75K,1752.00,1770.60,0.52%,1764.50,
01/10/2021,1766.00,1.17K,1753.30,1761.50,0.10%,1758.60,
30/09/2021,1766.00,3.44K,1727.70,1759.70,1.93%,1732.90,
29/09/2021,1749.20,0.99K,1725.00,1726.30,-0.85%,1737.60,
28/09/2021,1754.20,0.79K,1732.00,1741.10,-0.83%,1750.80,
27/09/2021,1762.30,0.98K,1748.60,1755.60,0.01%,1762.30,
24/09/2021,1761.00,0.84K,1745.50,1755.40,0.11%,1753.00,
23/09/2021,1780.20,1.21K,1742.10,1753.40,-1.64%,1771.30,
22/09/2021,1791.20,0.49K,1770.00,1782.70,0.04%,1782.70,
