Date,High,Vol.,Low,Price,Chg. %,Open,
06/02/2022,1867.25,0,1807.95,1860.40,2.91%,1808.10,
30/01/2022,1815.80,565.04K,1785.80,1807.80,1.28%,1792.80,
23/01/2022,1854.20,908.19K,1778.80,1784.90,-2.56%,1835.20,
16/01/2022,1848.50,915.30K,1804.70,1831.80,0.84%,1818.70,
09/01/2022,1829.30,765.70K,1789.30,1816.50,1.06%,1796.40,
02/01/2022,1833.00,748.00K,1781.30,1797.40,-1.71%,1830.10,
26/12/2021,1831.40,436.88K,1789.10,1828.60,0.93%,1810.20,
19/12/2021,1812.00,454.79K,1785.00,1811.70,0.38%,1800.20,
12/12/2021,1815.70,588.18K,1753.00,1804.90,1.13%,1784.20,
05/12/2021,1794.30,468.04K,1770.40,1784.80,0.05%,1787.70,
28/11/2021,1811.40,747.28K,1762.20,1783.90,-0.23%,1795.20,
21/11/2021,1853.00,575.17K,1780.20,1788.10,-3.57%,1850.70,
14/11/2021,1881.90,258.96K,1847.00,1854.30,-0.88%,1876.30,
07/11/2021,1873.30,243.74K,1815.90,1870.80,2.85%,1822.20,
31/10/2021,1822.20,82.65K,1761.00,1819.00,1.85%,1786.80,
24/10/2021,1814.60,34.00K,1774.60,1785.90,-0.69%,1796.40,
17/10/2021,1817.50,21.20K,1762.80,1798.30,1.59%,1769.50,
10/10/2021,1803.60,22.63K,1752.10,1770.20,0.61%,1760.30,
03/10/2021,1783.20,24.01K,1747.90,1759.40,-0.04%,1762.40,
26/09/2021,1766.40,28.13K,1723.70,1760.10,0.36%,1754.20,
19/09/2021,1789.70,12.36K,1740.00,1753.80,0.02%,1755.60,
12/09/2021,1812.70,10.72K,1747.50,1753.40,-2.27%,1791.30,
05/09/2021,1834.00,14.23K,1785.60,1794.20,-2.26%,1834.00,
29/08/2021,1838.70,9.70K,1806.60,1835.70,0.78%,1822.90,
22/08/2021,1823.70,4.14K,1780.20,1821.50,1.99%,1783.80,
15/08/2021,1799.00,6.84K,1775.20,1786.00,0.32%,1782.40,
08/08/2021,1783.50,14.17K,1680.00,1780.30,0.86%,1766.00,
01/08/2021,1837.40,8.75K,1762.00,1765.10,-2.97%,1818.60,
25/07/2021,1838.70,15.12K,1798.00,1819.10,0.64%,1808.00,
18/07/2021,1830.70,8.13K,1795.20,1807.50,-0.75%,1818.20,
11/07/2021,1840.30,14.79K,1797.20,1821.10,0.24%,1814.60,
04/07/2021,1824.40,10.86K,1793.40,1816.70,1.53%,1793.70,
27/06/2021,1800.90,2.79K,1757.60,1789.30,0.30%,1788.20,
20/06/2021,1801.00,1.88K,1770.00,1784.00,0.52%,1770.00,
13/06/2021,1882.70,3.33K,1768.80,1774.80,-5.87%,1882.70,
06/06/2021,1910.50,6.92K,1880.60,1885.50,-0.64%,1890.90,
30/05/2021,1922.80,2.54K,1861.80,1897.70,-0.70%,1915.00,
23/05/2021,1916.40,3.37K,1887.20,1911.00,1.41%,1889.00,
16/05/2021,1892.60,1.94K,1853.10,1884.50,2.08%,1853.20,
09/05/2021,1851.60,5.37K,1818.00,1846.10,0.38%,1840.40,
02/05/2021,1847.60,2.18K,1783.80,1839.20,3.58%,1784.60,
25/04/2021,1795.40,0.46K,1767.00,1775.70,-0.55%,1788.40,
18/04/2021,1804.50,0.39K,1775.00,1785.60,-0.14%,1795.90,
11/04/2021,1790.20,0.61K,1733.10,1788.10,2.03%,1740.30,
04/04/2021,1760.00,0.82K,1732.00,1752.50,1.00%,1732.00,
28/03/2021,1739.00,0.54K,1686.10,1735.20,-0.37%,1736.80,
21/03/2021,1753.80,0.44K,1728.10,1741.60,-0.54%,1746.50,
14/03/2021,1758.60,1.22K,1733.60,1751.00,1.25%,1737.50,
07/03/2021,1745.70,1.71K,1687.20,1729.30,1.06%,1718.50,
28/02/2021,1759.50,1.52K,1698.60,1711.20,-1.71%,1759.50,
21/02/2021,1819.70,0.84K,1730.00,1740.90,-2.54%,1797.00,
14/02/2021,1819.80,0.39K,1775.00,1786.20,-2.53%,1819.80,
07/02/2021,1862.80,0.79K,1828.80,1832.50,0.47%,1830.80,
31/01/2021,1875.90,1.09K,1797.30,1823.90,-1.91%,1870.00,
24/01/2021,1886.10,0.13K,1848.80,1859.50,-0.57%,1879.20,
17/01/2021,1880.30,0.20K,1825.50,1870.20,1.29%,1838.80,
10/01/2021,1875.10,1.59K,1839.60,1846.40,-0.42%,1848.10,
03/01/2021,1979.90,5.32K,1850.00,1854.20,-3.12%,1934.70,
27/12/2020,1913.90,0.82K,1913.90,1914.00,0.74%,1913.90,
20/12/2020,1906.70,0.37K,1906.70,1900.00,-0.20%,1906.70,
13/12/2020,1907.90,0.29K,1904.60,1903.90,2.43%,1907.80,
06/12/2020,1873.20,0.54K,1850.00,1858.70,0.17%,1856.90,
29/11/2020,1862.30,0.25K,1788.00,1855.60,2.81%,1795.10,
22/11/2020,1836.80,0.15K,1825.00,1804.80,-4.83%,1826.60,
15/11/2020,1894.50,0.25K,1889.70,1896.30,-1.02%,1894.50,
08/11/2020,1900.10,0.15K,1886.50,1915.90,-3.34%,1896.80,
01/11/2020,1975.10,0.01K,1920.90,1982.20,3.87%,1920.90,
25/10/2020,1909.70,0.01K,1900.50,1908.30,-1.38%,1909.70,
18/10/2020,1941.90,0.60K,1921.90,1935.10,-0.07%,1941.90,
11/10/2020,1939.90,0.01K,1939.90,1936.40,-1.00%,1939.90,
04/10/2020,1918.10,0.03K,1918.10,1956.00,1.12%,1918.10,
27/09/2020,1925.10,0.00K,1925.10,1934.40,2.19%,1925.10,
20/09/2020,1945.50,0.01K,1919.40,1892.90,-4.90%,1945.50,
13/09/2020,1997.90,0.48K,1965.30,1990.50,0.71%,1974.10,
06/09/2020,1980.00,0.01K,1980.00,1976.50,0.76%,1980.00,
30/08/2020,1969.00,0.01K,1962.00,1961.60,-1.98%,1962.00,
23/08/2020,1992.00,0.01K,1958.30,2001.30,1.05%,1958.30,
16/08/2020,2005.50,0.00K,1968.20,1980.60,-0.36%,2005.50,
09/08/2020,2063.70,0.02K,1964.00,1987.80,-4.11%,2063.70,
02/08/2020,2121.70,0.01K,2090.50,2073.00,2.27%,2098.50,
26/07/2020,2035.00,0.00K,1964.80,2026.90,3.11%,1964.80,
19/07/2020,1961.00,1.18K,1862.00,1965.70,5.63%,1862.00,
12/07/2020,1863.90,0.29K,1850.00,1861.00,0.16%,1857.30,
05/07/2020,1871.90,2.54K,1833.90,1858.10,1.63%,1833.90,
28/06/2020,1838.00,0.75K,1811.20,1828.30,0.77%,1816.50,
21/06/2020,1814.00,0.77K,1798.00,1814.40,1.60%,1803.00,
14/06/2020,1786.90,0.84K,1760.00,1785.80,0.79%,1770.30,
07/06/2020,1786.40,0.00K,1739.40,1771.80,3.01%,1739.40,
31/05/2020,1775.30,0.89K,1727.50,1720.00,-3.20%,1774.50,
24/05/2020,1764.00,0.37K,1722.50,1776.80,0.11%,1762.90,
17/05/2020,1795.40,0.84K,1771.90,1774.90,-0.87%,1795.40,
10/05/2020,1750.30,0.06K,1729.10,1790.40,2.29%,1729.10,
03/05/2020,1729.10,0.09K,1725.70,1750.30,1.70%,1729.10,
26/04/2020,1744.10,0.01K,1720.10,1721.10,-1.59%,1727.60,
19/04/2020,1762.20,0.01K,1709.50,1748.90,2.34%,1715.60,
12/04/2020,1779.10,0.03K,1717.80,1708.90,-2.83%,1779.10,
05/04/2020,1747.50,0.03K,1747.50,1758.70,6.32%,1747.50,
29/03/2020,1672.50,15.92K,1577.70,1654.10,-0.42%,1665.70,
22/03/2020,1695.00,0.04K,1498.90,1661.00,10.63%,1520.00,
15/03/2020,1503.00,0.01K,1485.00,1501.40,-2.01%,1485.00,
08/03/2020,1712.10,16.97K,1514.30,1532.20,-9.42%,1700.00,
01/03/2020,1703.60,16.29K,1593.90,1691.60,5.95%,1609.10,
23/02/2020,1711.80,0.05K,1582.00,1596.60,-5.32%,1673.30,
16/02/2020,1671.20,6.19K,1603.50,1686.30,3.83%,1605.00,
09/02/2020,1608.40,8.85K,1587.10,1624.10,0.70%,1599.50,
02/02/2020,1619.60,7.05K,1573.00,1612.80,-0.82%,1618.80,
26/01/2020,1615.30,21.65K,1589.30,1626.10,0.66%,1610.00,
19/01/2020,1595.00,0.00K,1595.00,1615.40,0.75%,1595.00,
12/01/2020,1588.00,9.95K,1563.40,1603.40,0.01%,1586.80,
05/01/2020,1637.90,12.84K,1570.20,1603.30,0.43%,1590.20,
